"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\restricted.feature: Read-only validation","2303","test_readonly_validation[TC_MyInfo_024-Salary]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Add record","13815","test_add_record[TC_MyInfo_015-Dependants]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","19502","test_upload_validation[TC_MyInfo_042.3-doc_big.pdf-Validation failed]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"/home/runner/work/Orange-HRM-Automation---Shantanu/Orange-HRM-Automation---Shantanu/features/my_info/crud.feature: Add record","34473","test_add_record[TC_MyInfo_011-Emergency Contacts]","tests","2026-02-18","broken","2026-02-18","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\restricted.feature: Read-only validation","1986","test_readonly_validation[TC_MyInfo_026-Report To]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","11119","test_upload_validation[TC_MyInfo_008.1-photo_1mb.jpg-Upload successful]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","14747","test_upload_validation[TC_MyInfo_042.1-doc_small.pdf-Upload successful]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\restricted.feature: Read-only validation","12540","test_readonly_validation[TC_MyInfo_024-Salary]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\login.feature: ESS login validation","1","test_ess_login_validation[TC_MyInfo_001-pavan-pavan@12345-MyInfo page visible]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","40406","test_validate_myinfo_flows[TC_MyInfo_001]","tests","2026-02-02","failed","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","15415","test_delete_record[TC_MyInfo_017-Dependants]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","23386","test_validate_myinfo_flows[TC_MyInfo_025]","tests","2026-02-02","failed","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\restricted.feature: Read-only validation","13883","test_readonly_validation[TC_MyInfo_023-Job]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","14229","test_delete_record[TC_MyInfo_047-Membership]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","20307","test_validate_myinfo_flows[TC_MyInfo_005]","tests","2026-02-02","failed","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","17387","test_upload_validation[TC_MyInfo_008.3-photo_big.jpg-Validation failed]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\personal_details.feature: Edit Personal Details (TC_MyInfo_006)","14265","test_edit_personal_details_tc_myinfo_006","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\login.feature: ESS login validation","0","test_ess_login_validation[TC_MyInfo_003-xxxxxxxx-pavan@12345-Invalid credentials]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","17599","test_validate_myinfo_flows[TC_MyInfo_025]","tests","2026-02-02","failed","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","11589","test_delete_record[TC_MyInfo_029-Qualifications]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","17825","test_validate_myinfo_flows[TC_MyInfo_005]","tests","2026-02-02","failed","2026-02-02","","test_myinfo_bdd","",""
